medium_videos Normal
project_videos\medium\Normal\20231116_210252000_iOS.MOV
fitted_incoming_vx,fitted_incoming_vy,fitted_outgoing_vx,fitted_outgoing_vy,ball_x_distance,incoming_angle,outgoing_angle
-1.0,-1.0,-0.23162459965883322,-0.09612958389359694,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2318217420973458,-0.09105641225626271,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23207132103197983,-0.08603042921847748,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2323722079713944,-0.08104020612249108,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23272327442424875,-0.07607431431055156,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23312339189920195,-0.07112132512490832,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23357143190491308,-0.06616980990781096,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23406626595004143,-0.061208340001507766,-1.0,-1.0,-1.0
-1.0,-1.0,-0.234606765543246,-0.05622548674824812,-1.0,-1.0,-1.0
-1.0,-1.0,-0.235191802193186,-0.05120982149028097,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23582024740852062,-0.04614991556985615,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2364909726979089,-0.041034340329221264,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2372028495700101,-0.03585166711062593,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23795474953348322,-0.030590467256319975,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2387455440969875,-0.02523931210855146,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23957410476918206,-0.019786773009570213,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24043930305872602,-0.014221421301624515,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2413400104742785,-0.008531828326964197,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24227509852449874,-0.0027065654278379814,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24324343871804582,0.003265796053505632,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2442439025635789,0.009396684774817254,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24527536156975702,0.015697529393847276,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24633668724523947,0.022179758568346752,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24742675109868528,0.028854800956067184,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24854442463875356,0.035734085214759403,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24968857937410371,0.0428290400021738,-1.0,-1.0,-1.0
-1.0,-1.0,-0.25085808681339467,0.05015109397606232,-1.0,-1.0,-1.0
-1.0,-1.0,-0.25205181846528557,0.057711675794175354,-1.0,-1.0,-1.0
-1.0,-1.0,-0.25326864583843556,0.06552221411426307,-1.0,-1.0,-1.0
-1.0,-1.0,-0.25450744044150375,0.07359413759407762,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2557670737831494,0.08193887489136964,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2570464173720316,0.09056785466388995,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2583443427168094,0.09949250556938916,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2596597213261421,0.10872425626561899,-1.0,-1.0,-1.0
-1.0,-1.0,-0.26099142470868886,0.11827453541032962,-1.0,-1.0,-1.0
-1.0,-1.0,-0.26233832437310867,0.12815477166127232,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2636992918280606,0.13837639367619814,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2650731985822039,0.14895083011285815,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2664589161441978,0.15988950962900295,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2678553160227014,0.17120386088238382,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2692612697263739,0.18290531253075115,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2706756487638743,0.19500529323185645,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2720973246438617,0.20751523164345032,-1.0,-1.0,-1.0
-1.0,-1.0,-0.27352516887499545,0.2204465564232838,-1.0,-1.0,-1.0
-1.0,-1.0,-0.27495805296593445,0.23381069622910822,-1.0,-1.0,-1.0
-1.0,-1.0,-0.276394848425338,0.24761907971867392,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2778344267618653,0.2618831355497322,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2792756594841754,0.2766142923800341,-1.0,-1.0,-1.0
-1.0,-1.0,-0.28071741810092743,0.29182397886733,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2821585741207805,0.3075236236693717,-1.0,-1.0,-1.0
-1.0,-1.0,-0.28359799905239386,0.3237246554439095,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2850345644044264,0.3404385028486947,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2864671416855377,0.3576765945414777,-1.0,-1.0,-1.0
-1.0,-1.0,-0.28789460240438663,0.37545035918001,-1.0,-1.0,-1.0
-1.0,-1.0,-0.28931581806963214,0.39377122542204246,-1.0,-1.0,-1.0
-1.0,-1.0,-0.29072966018993374,0.4126506219253261,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2921350002739505,0.43209997734761174,-1.0,-1.0,-1.0
-1.0,-1.0,-0.29353070983034135,0.45213072034665025,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2949156603677657,0.4727542795801929,-1.0,-1.0,-1.0
-1.0,-1.0,-0.29628872339488244,0.4939820837059905,-1.0,-1.0,-1.0
-1.0,-1.0,-0.29764877042035065,0.5158255613817937,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2989946729528299,0.5382961412653533,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3003253025009791,0.561405252014421,-1.0,-1.0,-1.0
,,,,,,,
,,,,,,,
,,,,,,,
medium_videos Normal
project_videos\medium\Normal\20231116_210300000_iOS.MOV
fitted_incoming_vx,fitted_incoming_vy,fitted_outgoing_vx,fitted_outgoing_vy,ball_x_distance,incoming_angle,outgoing_angle
-2.1659287604884447,1.6748706381167497,-0.4212064570886188,-1.2395747752728663,19.47,39.72,62.24
-2.3357973041168236,1.7940553538559254,-0.42400344790181377,-1.228422568244643,-1.0,-1.0,-1.0
-2.4212287301095152,1.8663746112260517,-0.42734864362624464,-1.2178769325765124,-1.0,-1.0,-1.0
-2.4313852384532204,1.8906156074936655,-0.4311907922473842,-1.207861586650027,-1.0,-1.0,-1.0
-2.3777182368527434,1.869366079443095,-0.4354786417507053,-1.1983002488467402,-1.0,-1.0,-1.0
-2.2734083599759103,1.8083617326786645,-0.44016094012168056,-1.1891166375482045,-1.0,-1.0,-1.0
-2.1328054886984855,1.7158336709268962,-0.4451864353457828,-1.1802344711359727,-1.0,-1.0,-1.0
-1.9708687693490932,1.6018558253387136,-0.4505038754084848,-1.1715774679915976,-1.0,-1.0,-1.0
-1.8026066329541333,1.4776923837916445,-0.45606200829525934,-1.163069346496632,-1.0,-1.0,-1.0
-1.642516814482701,1.3551452201920235,-0.4618095819915792,-1.1546338250326285,-1.0,-1.0,-1.0
-1.5040263720915048,1.2459013237771965,-0.467695344482917,-1.1461946219811403,-1.0,-1.0,-1.0
-1.3989317063697828,1.16088022841772,-0.4736680437547457,-1.1376754557237199,-1.0,-1.0,-1.0
-1.3368385795842266,1.1095814419195698,-0.47967642779253794,-1.1290000446419202,-1.0,-1.0,-1.0
-1.3246021349238914,1.0994318753263395,-0.4856692445817665,-1.120092107117294,-1.0,-1.0,-1.0
-1.365766915745123,1.135133272221442,-0.49159524210790423,-1.1108753615313942,-1.0,-1.0,-1.0
-1.4600068848164682,1.21800963803032,-0.49740316835642373,-1.1012735262657734,-1.0,-1.0,-1.0
-1.6025654435636025,1.3453546693226393,-0.5030417713127979,-1.0912103197019847,-1.0,-1.0,-1.0
-1.7836954513142356,1.5097791831145007,-0.5084597989624995,-1.0806094602215806,-1.0,-1.0,-1.0
-1.9880992445430463,1.6985585461706367,-0.5136059992910013,-1.0693946662061138,-1.0,-1.0,-1.0
-2.194368656116579,1.8929801043066168,-0.518429120283776,-1.0574896560371376,-1.0,-1.0,-1.0
-2.374425034538192,2.0676906116910487,-0.5228779099262962,-1.0448181480962044,-1.0,-1.0,-1.0
-2.4929592631929363,2.190043660147785,-0.526901116204035,-1.031303860764867,-1.0,-1.0,-1.0
-2.5068717795925157,2.219447108458122,-0.530447487102465,-1.0168705124246786,-1.0,-1.0,-1.0
-2.364712594620179,2.1067105116630103,-0.533465770607059,-1.0014418214571914,-1.0,-1.0,-1.0
-2.0061213117756345,1.793392550365247,-0.5359047147032897,-0.9849415062439587,-1.0,-1.0,-1.0
-1.3612671464199968,1.2111484600316822,-0.5377130673766299,-0.9672932851665331,-1.0,-1.0,-1.0
-1.0,-1.0,-0.5388395766125524,-0.9484208766064675,-1.0,-1.0,-1.0
-1.0,-1.0,-0.5392329903965299,-0.9282479989453145,-1.0,-1.0,-1.0
-1.0,-1.0,-0.5388420567140353,-0.906698370564627,-1.0,-1.0,-1.0
-1.0,-1.0,-0.5376155235505411,-0.8836957098459579,-1.0,-1.0,-1.0
-1.0,-1.0,-0.5355021388915203,-0.8591637351708599,-1.0,-1.0,-1.0
-1.0,-1.0,-0.5324506507224457,-0.8330261649208859,-1.0,-1.0,-1.0
-1.0,-1.0,-0.5284098070287898,-0.8052067174775885,-1.0,-1.0,-1.0
