high_videos Normal
project_videos\high\Normal\20231116_211200000_iOS.MOV
fitted_incoming_vx,fitted_incoming_vy,fitted_outgoing_vx,fitted_outgoing_vy,ball_x_distance,incoming_angle,outgoing_angle
-3.4565087848501563,3.4626330244433396,-0.5253294423917657,-2.7219823390176265,19.47,46.81,77.84
-3.4803558170869846,3.5231833416543754,-0.4952817130038898,-2.5455386021669035,-1.0,-1.0,-1.0
-3.4702870701425366,3.5586253161328107,-0.46757588760503216,-2.3830490657753494,-1.0,-1.0,-1.0
-3.3797799127056463,3.5091996775428216,-0.442159343098662,-2.2340699587550814,-1.0,-1.0,-1.0
-3.19660509747537,3.355659072050301,-0.41897945638824874,-2.0981575100182184,-1.0,-1.0,-1.0
-2.9347297121585725,3.1099232143305904,-0.39798360437726177,-1.9748679484768772,-1.0,-1.0,-1.0
-2.626220130467514,2.8057340395762136,-0.3791191639691703,-1.8637575030431763,-1.0,-1.0,-1.0
-2.3131449631174377,2.489310855504614,-0.3623335120674437,-1.7643824026292334,-1.0,-1.0,-1.0
-2.039478008824151,2.210005494365882,-0.3475740255755513,-1.6762988761471662,-1.0,-1.0,-1.0
-1.8430012053016216,2.010957464950491,-0.3347880813969624,-1.5990631525090926,-1.0,-1.0,-1.0
-1.7472075802595546,1.9197491045970343,-0.3239230564351465,-1.5322314606271303,-1.0,-1.0,-1.0
-1.7532042024009784,1.9390607311999553,-0.31492632759357275,-1.4753600294133977,-1.0,-1.0,-1.0
-1.831615132419853,2.037325795217268,-0.30774527177571054,-1.4280050877800121,-1.0,-1.0,-1.0
-1.9144843739986115,2.13938603167833,-0.30232726588502923,-1.3897228646390913,-1.0,-1.0,-1.0
-1.887178824805788,2.1171466121915197,-0.29861968682499807,-1.3600695889027536,-1.0,-1.0,-1.0
-1.5802912274936063,1.7802312969520289,-0.29656991149908646,-1.3386014894831164,-1.0,-1.0,-1.0
-0.7615431206955177,0.8666375867495613,-0.29612531681076376,-1.3248747952922981,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2972332796634993,-1.3184457352424162,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2998411769607623,-1.318870538245588,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3038963856060223,-1.3257054332139324,-1.0,-1.0,-1.0
-1.0,-1.0,-0.30934628250274837,-1.3385066490595667,-1.0,-1.0,-1.0
-1.0,-1.0,-0.31613824455441,-1.3568304146946086,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3242196486644765,-1.3802329590311762,-1.0,-1.0,-1.0
-1.0,-1.0,-0.33353787173641725,-1.4082705109813871,-1.0,-1.0,-1.0
-1.0,-1.0,-0.34404029067370145,-1.4404992994573595,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3556742823797986,-1.4764755533712104,-1.0,-1.0,-1.0
-1.0,-1.0,-0.36838722375817795,-1.515755501635059,-1.0,-1.0,-1.0
-1.0,-1.0,-0.38212649171230895,-1.5578953731610232,-1.0,-1.0,-1.0
,,,,,,,
,,,,,,,
,,,,,,,
high_videos Normal
project_videos\high\Normal\20231116_211202000_iOS.MOV
fitted_incoming_vx,fitted_incoming_vy,fitted_outgoing_vx,fitted_outgoing_vy,ball_x_distance,incoming_angle,outgoing_angle
3.3590715700244833,4.3430252768499855,0.3825677339649376,-4.888963570859228,23.04,53.59,84.21
2.6535374328883754,3.4974359047136683,0.32411680081374683,-4.093432897482932,-1.0,-1.0,-1.0
2.8082131981521785,3.7206451443177593,0.27347120963311344,-3.403748666808802,-1.0,-1.0,-1.0
3.191231909844659,4.252500538813365,0.2301738298953279,-2.8133802320756685,-1.0,-1.0,-1.0
3.4236252854782805,4.6116429933264005,0.19376753107268058,-2.3157969465223642,-1.0,-1.0,-1.0
3.337553664873215,4.560649917935232,0.1637951826374619,-1.9044681633877198,-1.0,-1.0,-1.0
2.9345359589813356,4.071178370648323,0.13979965406196226,-1.5728632359105683,-1.0,-1.0,-1.0
2.343679598710239,3.2891082003818575,0.1213238148184721,-1.31445151732974,-1.0,-1.0,-1.0
1.779910483747226,2.4996851899374306,0.10791053437928172,-1.1227023608840683,-1.0,-1.0,-1.0
1.5022029313833478,2.09266419897961,0.09910268221668173,-0.991085119812384,-1.0,-1.0,-1.0
1.7718096253373825,2.5274523070136707,0.09444312780296243,-0.9130691473535189,-1.0,-1.0,-1.0
-1.0,-1.0,0.09347474061041416,-0.8821237967463054,-1.0,-1.0,-1.0
-1.0,-1.0,0.09574039011132746,-0.8917184212295739,-1.0,-1.0,-1.0
-1.0,-1.0,0.10078294577799274,-0.9353223740421583,-1.0,-1.0,-1.0
-1.0,-1.0,0.10814527708270033,-1.0064050084228877,-1.0,-1.0,-1.0
-1.0,-1.0,0.1173702534977406,-1.098435677610596,-1.0,-1.0,-1.0
-1.0,-1.0,0.1280007444954041,-1.2048837348441164,-1.0,-1.0,-1.0
-1.0,-1.0,0.1395796195479812,-1.3192185333622763,-1.0,-1.0,-1.0
-1.0,-1.0,0.151649748127762,-1.4349094264039088,-1.0,-1.0,-1.0
-1.0,-1.0,0.1637539997070374,-1.5454257672078495,-1.0,-1.0,-1.0
-1.0,-1.0,0.1754352437580978,-1.644236909012923,-1.0,-1.0,-1.0
-1.0,-1.0,0.18623634975323322,-1.7248122050579697,-1.0,-1.0,-1.0
-1.0,-1.0,0.1957001871647343,-1.7806210085818188,-1.0,-1.0,-1.0
-1.0,-1.0,0.20336962546489157,-1.805132672823297,-1.0,-1.0,-1.0
-1.0,-1.0,0.20878753412599502,-1.7918165510212392,-1.0,-1.0,-1.0
-1.0,-1.0,0.2114967826203356,-1.734141996414479,-1.0,-1.0,-1.0
-1.0,-1.0,0.21104024042020317,-1.6255783622418458,-1.0,-1.0,-1.0
-1.0,-1.0,0.20696077699788853,-1.459595001742171,-1.0,-1.0,-1.0
-1.0,-1.0,0.19880126182568228,-1.2296612681542896,-1.0,-1.0,-1.0
-1.0,-1.0,0.18610456437587386,-0.9292465147170308,-1.0,-1.0,-1.0
,,,,,,,
,,,,,,,
,,,,,,,
high_videos Normal
project_videos\high\Normal\20231116_211209000_iOS.MOV
fitted_incoming_vx,fitted_incoming_vy,fitted_outgoing_vx,fitted_outgoing_vy,ball_x_distance,incoming_angle,outgoing_angle
-2.111641802555493,2.006145562015564,-0.34657214120733104,-1.3572153389981385,19.22,45.99,73.15
-3.397856490680611,3.2373125866330534,-0.3816871107591185,-1.4568876232891306,-1.0,-1.0,-1.0
-3.6550578604075925,3.5326832740672955,-0.41167993055008556,-1.5399692489244319,-1.0,-1.0,-1.0
-3.4836233459632764,3.434271545063595,-0.43685185579356733,-1.6074399484434077,-1.0,-1.0,-1.0
-3.2541968899920573,3.279149342937316,-0.45750414170289905,-1.660279454385423,-1.0,-1.0,-1.0
-3.150503878637682,3.236535130403979,-0.4739380434914158,-1.6994674992898426,-1.0,-1.0,-1.0
-3.212166076625037,3.3448823864093797,-0.4864548163724526,-1.7259838156960325,-1.0,-1.0,-1.0
-3.377516562341959,3.5489681029596767,-0.4953557155593447,-1.7408081361433574,-1.0,-1.0,-1.0
-3.5264146629210087,3.7369812819515165,-0.5009419962654272,-1.7449201931711822,-1.0,-1.0,-1.0
-3.5230608893213,3.777611432002111,-0.5035149137040353,-1.7392997193188726,-1.0,-1.0,-1.0
-3.2588118714102174,3.557137065279413,-0.5033757230885041,-1.7249264471257935,-1.0,-1.0,-1.0
-2.694995293045362,3.016514194332122,-0.5008256796321686,-1.70278010913131,-1.0,-1.0,-1.0
-1.9057248271561489,2.188464828919926,-0.49616603854836405,-1.673840437874787,-1.0,-1.0,-1.0
-1.1207150708257352,1.2345654728433462,-0.48969805505042563,-1.6390871658955903,-1.0,-1.0,-1.0
-1.0,-1.0,-0.48172298435168837,-1.5995000257330845,-1.0,-1.0,-1.0
-1.0,-1.0,-0.47254208166548745,-1.556058749926635,-1.0,-1.0,-1.0
-1.0,-1.0,-0.462456602205158,-1.5097430710156068,-1.0,-1.0,-1.0
-1.0,-1.0,-0.45176780118403514,-1.4615327215393654,-1.0,-1.0,-1.0
-1.0,-1.0,-0.440776933815454,-1.4124074340372756,-1.0,-1.0,-1.0
-1.0,-1.0,-0.4297852553127498,-1.363346941048703,-1.0,-1.0,-1.0
-1.0,-1.0,-0.41909402088925757,-1.3153309751130122,-1.0,-1.0,-1.0
-1.0,-1.0,-0.4090044857583124,-1.2693392687695684,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3998179051332495,-1.226351554557737,-1.0,-1.0,-1.0
-1.0,-1.0,-0.39183553422740414,-1.187347565016883,-1.0,-1.0,-1.0
-1.0,-1.0,-0.38535862825411116,-1.153307032686372,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3806884424267057,-1.1252096901055688,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3781262319585233,-1.104035269813839,-1.0,-1.0,-1.0
-1.0,-1.0,-0.37797325206289856,-1.0907635043505468,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3805307579531671,-1.0863741262550575,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3861000048426637,-1.091846868066737,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3949822479447237,-1.10816146232495,-1.0,-1.0,-1.0
,,,,,,,
,,,,,,,
,,,,,,,
high_videos Normal
project_videos\high\Normal\20231116_211221000_iOS.MOV
fitted_incoming_vx,fitted_incoming_vy,fitted_outgoing_vx,fitted_outgoing_vy,ball_x_distance,incoming_angle,outgoing_angle
-2.709508463544257,3.0181912099711923,-0.6647075449694912,-2.2481652288101666,22.06,48.03,69.23
-3.067683961607599,3.4160105351893972,-0.6692780275282206,-2.210563848642463,-1.0,-1.0,-1.0
-3.501129036620678,3.8968658732542956,-0.6703345323559432,-2.166401436709962,-1.0,-1.0,-1.0
-3.788125039068024,4.214617359780813,-0.6682024487149304,-2.116394912019234,-1.0,-1.0,-1.0
-3.824336065053301,4.253518412984009,-0.6632071658674534,-2.0612611935768492,-1.0,-1.0,-1.0
-3.5979060560268197,4.00054655867191,-0.6556740730757837,-2.0017172003893786,-1.0,-1.0,-1.0
-3.1645558985130444,3.51773425523832,-0.6459285596021928,-1.9384798514633923,-1.0,-1.0,-1.0
-2.6226805238381035,2.9144997186556663,-0.6342960147089515,-1.8722660658054613,-1.0,-1.0,-1.0
-2.0884460078573026,2.319977747467811,-0.6211018276583317,-1.8037927624221561,-1.0,-1.0,-1.0
-1.6708866706826224,1.8553505477828798,-0.6066713877126043,-1.7337768603200472,-1.0,-1.0,-1.0
-1.447002176410235,1.6061785582660748,-0.591330084134041,-1.6629352785057052,-1.0,-1.0,-1.0
-1.4368546328480363,1.5947312751325597,-0.5754033061849129,-1.5919849359857006,-1.0,-1.0,-1.0
-1.5786656912431152,1.7523180771401714,-0.5592164431274913,-1.521642751766604,-1.0,-1.0,-1.0
-1.703913646009251,1.8916190505823918,-0.5430948842240478,-1.4526256448549861,-1.0,-1.0,-1.0
