low_videos Normal
project_videos\low\Normal\20231116_210025000_iOS.MOV
fitted_incoming_vx,fitted_incoming_vy,fitted_outgoing_vx,fitted_outgoing_vy,ball_x_distance,incoming_angle,outgoing_angle
2.418144283786618,1.1107090151650834,0.48121472118630104,-2.8842888131457727,17.75,30.2,62.87
2.2094045847490866,1.040821978722186,0.4576126846995303,-2.728353500709672,-1.0,-1.0,-1.0
2.007330232511181,0.9634306483133689,0.43492775660177574,-2.578315091498679,-1.0,-1.0,-1.0
1.8200920624535821,0.8854664376610387,0.4131450390758435,-2.4340654575804743,-1.0,-1.0,-1.0
1.6540122285438668,0.8125262412282195,0.3922496343045395,-2.2954964710227395,-1.0,-1.0,-1.0
1.5137033654677383,0.748967852624169,0.37222664447067,-2.162500003893156,-1.0,-1.0,-1.0
1.402207750760257,0.6980053830099922,0.353061171757041,-2.0349679282594058,-1.0,-1.0,-1.0
1.3211364669370724,0.6618046795042583,0.33473831834645845,-1.9127921161891694,-1.0,-1.0,-1.0
1.2708085636256534,0.6415787435886138,0.3172431864217286,-1.7958644397501293,-1.0,-1.0,-1.0
1.2503902196965186,0.6376831495133994,0.30056087816565746,-1.684076771009966,-1.0,-1.0,-1.0
1.2580339053944696,0.6497114627032634,0.28467649576105103,-1.5773209820363616,-1.0,-1.0,-1.0
1.29101754446982,0.6765906581627786,0.2695751413907155,-1.4754889448969977,-1.0,-1.0,-1.0
1.3458836763096267,0.716676538882055,0.2552419172374568,-1.3784725316595552,-1.0,-1.0,-1.0
1.4185786180689215,0.7678491542423571,0.2416619254840812,-1.2861636143917157,-1.0,-1.0,-1.0
1.5045916268019424,0.8276082184217188,0.22882026831339458,-1.198454065161161,-1.0,-1.0,-1.0
1.5990940615933635,0.8931685288005552,0.21670204790820308,-1.1152357560355721,-1.0,-1.0,-1.0
1.6970785456895277,0.9615553843672826,0.20529236645131282,-1.036400559082631,-1.0,-1.0,-1.0
1.793498128629675,1.029700004123931,0.19457632612552989,-0.9618403463700191,-1.0,-1.0,-1.0
1.883405448377179,1.0945349454917583,0.18453902911366016,-0.8914469899654172,-1.0,-1.0,-1.0
1.9620918934507674,1.1530895227168672,0.17516557759850987,-0.8251123619365073,-1.0,-1.0,-1.0
2.0252267650557663,1.2025852252758182,0.16644107376288514,-0.762728334350971,-1.0,-1.0,-1.0
2.068996439215322,1.2405311362812474,0.15835061978959192,-0.70418677927649,-1.0,-1.0,-1.0
2.0902435289016377,1.2648193508874808,0.15087931786143632,-0.6493795687807444,-1.0,-1.0,-1.0
2.0866060461671916,1.2738203946961482,0.14401227016122442,-0.5981985749314171,-1.0,-1.0,-1.0
2.056656564275994,1.2664786421617942,0.13773457887176233,-0.5505356697961887,-1.0,-1.0,-1.0
2.0000413798347925,1.2424077349975002,0.1320313461758561,-0.5062827254427416,-1.0,-1.0,-1.0
1.9176196749243102,1.2019860005805054,0.1268876742563117,-0.4653316139387562,-1.0,-1.0,-1.0
1.8116026792304813,1.1464518703578108,0.1222886652959353,-0.4275742073519142,-1.0,-1.0,-1.0
1.685692832175691,1.0779992982517796,0.118219421477533,-0.3929023777498979,-1.0,-1.0,-1.0
1.5452229450499737,0.999873179065787,0.11466504498391078,-0.3612079972003879,-1.0,-1.0,-1.0
1.3972953631422942,0.916464766889821,0.1116106379978748,-0.3323829377710661,-1.0,-1.0,-1.0
1.2509211278717312,0.8334070935060818,0.109041302702231,-0.3063190715296136,-1.0,-1.0,-1.0
1.1171591389187265,0.75767038679462,0.10694214127978569,-0.28290827054371226,-1.0,-1.0,-1.0
1.0092553163563152,0.6976574891389298,0.10529825591334468,-0.2620424068810432,-1.0,-1.0,-1.0
0.9427817627813833,0.6632992758315828,0.10409474878571423,-0.24361335260928785,-1.0,-1.0,-1.0
0.9357759254458451,0.6661500734798353,0.10331672207970033,-0.2275129797961286,-1.0,-1.0,-1.0
1.0088797583879403,0.7194830784112487,0.10294927797810899,-0.2136331605092452,-1.0,-1.0,-1.0
1.1854788845633677,0.8383857750792862,0.10297751866374633,-0.2018657668163204,-1.0,-1.0,-1.0
1.4918417579766206,1.039855354468964,0.10338654631941857,-0.1921026707850353,-1.0,-1.0,-1.0
1.9572588258121766,1.3428941325024173,0.10416146312793156,-0.18423574448307223,-1.0,-1.0,-1.0
-1.0,-1.0,0.10528737127209148,-0.17815685997811093,-1.0,-1.0,-1.0
-1.0,-1.0,0.10674937293470443,-0.1737578893378342,-1.0,-1.0,-1.0
-1.0,-1.0,0.10853257029857644,-0.17093070462992221,-1.0,-1.0,-1.0
-1.0,-1.0,0.11062206554651349,-0.16956717792205867,-1.0,-1.0,-1.0
-1.0,-1.0,0.11300296086132172,-0.16955918128192282,-1.0,-1.0,-1.0
-1.0,-1.0,0.1156603584258073,-0.17079858677719706,-1.0,-1.0,-1.0
-1.0,-1.0,0.11857936042277639,-0.17317726647556286,-1.0,-1.0,-1.0
-1.0,-1.0,0.12174506903503463,-0.17658709244470172,-1.0,-1.0,-1.0
-1.0,-1.0,0.1251425864453884,-0.18091993675229556,-1.0,-1.0,-1.0
